"profile_id","start","end","elapsed","depth","date","well_pad_name"
"19_PTH-BB-9","0","1","1","1148","2023-02-17","PTH-BB-9"
"19_PTH-BB-9","1","3","2","1148","2023-02-17","PTH-BB-9"
"19_PTH-BB-9","3","4","1","1148","2023-02-17","PTH-BB-9"
"19_PTH-BB-9","4","11.5","7.5","1148","2023-02-17","PTH-BB-9"
"19_PTH-BB-9","11.5","15","3.5","1148","2023-02-17","PTH-BB-9"
"19_PTH-BB-9","15","16.5","1.5","1148","2023-02-17","PTH-BB-9"
"19_PTH-BB-9","16.5","19","2.5","1148","2023-02-17","PTH-BB-9"
"19_PTH-BB-9","19","0","5","1148","2023-02-17","PTH-BB-9"
"46_PTH-BB-9A-ST","0","2","2","851.5","2023-06-04","PTH-BB-9A-ST"
"46_PTH-BB-9A-ST","2","2.5","0.5","851.5","2023-06-04","PTH-BB-9A-ST"
"46_PTH-BB-9A-ST","2.5","19","16.5","856.74","2023-06-04","PTH-BB-9A-ST"
"46_PTH-BB-9A-ST","19","19.5","0.5","856.74","2023-06-04","PTH-BB-9A-ST"
"46_PTH-BB-9A-ST","19.5","23","3.5","856.74","2023-06-04","PTH-BB-9A-ST"
"46_PTH-BB-9A-ST","23","24","1","856.74","2023-06-04","PTH-BB-9A-ST"
